index,bankruptcy,active,bankruptcy_indicator,time_to_event,mean_operating_revenue,mean_cash_flow,mean_total_assets,mean_n_employees,n_legal_events,peer_group_size
8796,2016-04-25,2014-05-14,1,712.0,0.0,0.0,0.0,0.0,16.0,441417
8797,2016-04-25,2013-03-15,1,1137.0,0.0,0.0,0.0,0.0,6.0,2693579
8799,2013-04-06,2005-04-19,1,2909.0,7.632293641289084,-10.97860639359951,68.0678900272608,0.5,16.0,72035
8800,2015-02-02,2009-07-14,1,2029.0,0.0,16.213397814989086,139.62178527688997,0.0,4.0,316913
8802,2014-04-02,2005-11-16,1,3059.0,0.0,1.1222751356601728,7.290110424947736,0.0,9.0,2693579
8803,2016-10-17,2010-02-08,1,2443.0,0.0,0.0,0.0,0.0,4.0,1507576
8813,2017-04-24,2015-03-11,1,775.0,0.0,0.0,0.0,0.0,8.0,316913
8816,2016-11-28,2002-08-03,1,5231.0,209.32778221152216,-3.8516213390350367,140.53250879964838,0.6666666666666666,6.0,519602
8826,2011-06-16,2011-06-16,1,0.0,0.0,-75.30440043437474,707.3459987583162,18.166666666666668,26.0,719969
8827,2017-02-01,2008-05-26,1,3173.0,106.00938821474699,15.791674340820313,91.6137370699406,0.3333333333333333,24.0,65117
8830,2017-09-18,2013-05-03,1,1599.0,95.04921434323,-10.21720000140666,4.8997837561369,0.0,8.0,80991
8843,2014-05-15,2014-05-15,1,0.0,0.0,1.38110347146988,35.27859815824032,0.0,6.0,544636
8849,,2016-07-28,0,2317.0,0.0,0.0,7.70146510846614,0.16666666666666666,19.0,552924
8858,2015-06-18,2015-06-18,1,0.0,0.0,20.23256796324248,516.5011145076753,0.0,4.0,200746
8876,2013-11-14,1982-03-15,1,11567.0,240.0232544793685,28.461695945930472,368.2001038095235,1.1666666666666667,12.0,976561
8878,2013-09-12,2009-09-03,1,1470.0,0.0,0.0,2.07532892932892,0.0,6.0,316913
8902,2016-10-03,2016-10-03,1,0.0,0.0,21.3796780307293,555.9843407082319,3.3333333333333335,9.0,305537
8905,2013-10-14,2012-01-25,1,628.0,0.0,0.0,0.0,0.0,4.0,488571
