"","index","status","end_date","start_date","years_to_event","event_indicator","total_liabilities_by_net_assets","cash_by_total_assets","cash_by_current_liabilities","current_assets_by_current_liabilities","tax","financial_expenses_by_total_assets","EBIT","working_capital_by_total_assets","size_classification","income_tax_by_total_assets","sector","cooperative","nonprofit","other","private","public","censor","size_small","size_large","size_v_large","EBITDA","log_cash_by_current_liabilities","log_cash_by_total_assets","log_total_liabilities_by_net_assets","log_total_liabilities_by_total_assets"
"7999",8035,"Liquidation","2020-06-16 00:00:00.000000000","2012-07-03",8,4,-13500,0.000179487179487179,0.000355932203389831,0.853107344632768,2000,0.0284900284900285,-13333.3333333333,-0.0455840455840456,"Small",0.0170940170940171,"I - Accommodation and food service activities",0,0,0,1,0,0,1,0,0,-1333.33333333333,-7.94077028516443,-8.62540677605647,NA,NA
"8000",8036,"Consolidation of shares in one person's possession","2021-08-23 00:00:00.000000000","2012-07-03",9,3,1859.375,0.0000504201680672269,0.000315789473684211,4.42105263157895,3000,0.0168067226890756,-1000,0.302521008403361,"Small",0.0756302521008403,"I - Accommodation and food service activities",0,0,0,1,0,0,1,0,0,333.333333333333,-8.06043478892052,-9.89511930286561,7.52799568873399,7.52799568873399
"8001",8037,"Bankruptcy","2019-12-16 00:00:00.000000000","2012-07-05",7,2,3531.79190751445,0.00076759410801964,0.0010983606557377,1.40046838407494,5500,0.00654664484451719,-12666.6666666667,-0.193944353518822,"Small",0.0270049099836334,"I - Accommodation and food service activities",0,0,0,1,0,1,1,0,0,-7000,-6.81393652376448,-7.17224946970745,8.16956064365595,8.16956064365595
"8002",8038,"Bankruptcy","2022-06-13 00:00:00.000000000","2012-07-04",10,2,-4511.90476190476,0.0000316622691292876,0.0000415944540727903,0.710571923743501,4000,0.0145118733509235,-39666.6666666667,0.12401055408971,"Small",0.0158311345646438,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,1,1,0,0,-32333.3333333333,-10.0875437151423,-10.3603848342766,NA,NA
"8003",8039,"Liquidation","2021-06-09 00:00:00.000000000","2012-07-04",9,4,20027.7777777778,0.000857605177993527,0.00100924918389554,1.05875952121872,168333.333333333,0.00231160425335183,353000,-1.02760055478502,"Small",0.0466944059177069,"M - Professional, scientific and technical activities",0,0,0,1,0,0,1,0,0,484000,-6.89854860685623,-7.06136672989366,9.90487547781098,9.90487547781098
"8004",8040,"Merger by absorption","2020-05-20 00:00:00.000000000","2012-06-28",8,0,1656.77966101695,0.000672634271099744,0.00196268656716418,2.76119402985075,6333.33333333333,0.0153452685421995,18666.6666666667,0.0537084398976982,"Small",0.0485933503836317,"M - Professional, scientific and technical activities",0,0,0,1,0,0,1,0,0,26333.3333333333,-6.23344104675528,-7.30430880678974,7.41263103394189,7.41263103394189
"8005",8041,"Bankruptcy","2022-08-23 00:00:00.000000000","2012-07-05",10,2,-63250,0.000185770750988142,0.000311258278145695,0.980132450331126,4000,0.0790513833992095,15333.3333333333,-0.1699604743083,"Small",0.0474308300395257,"I - Accommodation and food service activities",0,0,0,1,0,1,1,0,0,29000,-8.074887514087,-8.5909971659996,NA,NA
"8006",8042,"Merger by absorption","2019-12-13 00:00:00.000000000","2012-06-25",7,0,1095.19572953737,0.00000974817221770918,0.000244897959183674,23.9591836734694,16000,0.0016246953696182,44666.6666666667,0.0743298131600325,"Small",0.0389926888708367,"C - Manufacturing",0,0,0,1,0,0,1,0,0,62333.3333333333,-8.31466892730476,-11.5384307553786,6.99868837471295,6.99868837471295
"8007",8043,"Liquidation","2020-12-22 00:00:00.000000000","2012-06-21",8,4,5460,0.000567765567765568,0.00081151832460733,1.26701570680628,3000,0.00366300366300366,3666.66666666667,-0.010989010989011,"Small",0.032967032967033,"J - Information and communication",0,0,0,1,0,0,1,0,0,8666.66666666667,-7.11660359010952,-7.47380195724785,8.60520406873895,8.60520406873895
"8008",8044,"Legal dissolution by expiry","2022-11-03 00:00:00.000000000","2012-07-03",10,7,1358.46476784717,0.000309479593427936,0.0190497382198953,46.3106457242583,24000,0.0216044569824641,-427333.333333333,-0.00408273202818219,"Large",0.00102068300704555,"K - Financial and insurance activities",0,0,0,1,0,0,0,1,0,-363000,-3.96070191924163,-8.08061840201034,7.21411049393103,7.21411049393103
"8009",8045,"Bankruptcy","2022-01-19 00:00:00.000000000","2012-07-09",10,2,-1058.37563451777,0.000116306954436451,0.0000852372583479789,0.309314586994728,0,0.26978417266187,-112000,-0.152278177458034,"Small",0,"C - Manufacturing",0,0,0,1,0,1,1,0,0,-106333.333333333,-9.37007191516503,-9.0592777028375,NA,NA
"8010",8046,"Judicial winding up","2019-02-12 00:00:00.000000000","2012-07-10",7,8,-1241.56545209177,0.0000171195652173913,0.0000193726937269373,0.0891758917589176,18500,0.0190217391304348,-13666.6666666667,-0.0831521739130435,"Small",0.0301630434782609,"M - Professional, scientific and technical activities",0,0,0,1,0,0,1,0,0,-5333.33333333333,-10.8516460232583,-10.9752885837536,NA,NA
